site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Acuna Island,ACUN,48.2,-44.636999999999986,-60.76119999999889,chinstrap penguin,28,12,1983,1983,4000,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Acuna Island,ACUN,48.2,-44.636999999999986,-60.76119999999889,ad{\'e}lie penguin,,,1993,1993,2008,1,nests,ground,<strong>Coria  N. R.  D. Montalti  E. F. Rombol&#225;  M. M. Santos  M. I. Garcia Beto&#241;o  and M. A. Ju&#225;res </strong><i> 2011</i>. Birds at Laurie Island  South Orkney Islands  Antarctica: Breeding species and their distribution. Marine Ornithology 39:207-213.
Acuna Island,ACUN,48.2,-44.636999999999986,-60.76119999999889,ad{\'e}lie penguin,,,1994,1994,1920,1,nests,,<strong>Woehler  E. J. and J. P. Croxall  </strong><i> 1997</i>. The status and trends of Antarctic and sub-Antarctic seabirds. Marine Ornithology 25:43-66.
Acuna Island,ACUN,48.2,-44.636999999999986,-60.76119999999889,ad{\'e}lie penguin,,,2004,2004,1880,1,nests,ground,<strong>Coria  N. R.  D. Montalti  E. F. Rombol&#225;  M. M. Santos  M. I. Garcia Beto&#241;o  and M. A. Ju&#225;res </strong><i> 2011</i>. Birds at Laurie Island  South Orkney Islands  Antarctica: Breeding species and their distribution. Marine Ornithology 39:207-213.
Acuna Island,ACUN,48.2,-44.636999999999986,-60.76119999999889,ad{\'e}lie penguin,25,2,2011,2010,3079,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Adams Island,ADAM,58.4.1,92.54859999999996,-66.5458999999998,ad{\'e}lie penguin,12,11,2009,2009,76,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Adams Island,ADAM,58.4.1,92.54859999999996,-66.5458999999998,ad{\'e}lie penguin,21,1,2011,2010,425,1,adults,aerial photo,<strong>Southwell  C. and L. Emmerson  </strong><i> 2013</i>. First population counts at newly discovered Ad&#233;lie penguin <i>Pygoscelis adeliae</i> breeding sites along the Wilhelm II  Queen Mary and Wilkes Land coastlines  East Antarctica. Marine Ornithology 41:87-89.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,,1982,1982,220900,2,chicks,,<strong>Wilson  G.  </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge  volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,12,1983,1983,256806,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,12,1986,1986,282307,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,12,1988,1988,272338,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,12,1990,1990,169200,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
