size: 	 64 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.000484 	 seconds
size: 	 64 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.002859 	 seconds
size: 	 64 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.025177 	 seconds
size: 	 64 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.142201 	 seconds
size: 	 256 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.001645 	 seconds
size: 	 256 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.003536 	 seconds
size: 	 256 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.009354 	 seconds
size: 	 256 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.107287 	 seconds
size: 	 576 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.003103 	 seconds
size: 	 576 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.004439 	 seconds
size: 	 576 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.010261 	 seconds
size: 	 576 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.080733 	 seconds
size: 	 1024 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.004325 	 seconds
size: 	 1024 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.004915 	 seconds
size: 	 1024 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.012913 	 seconds
size: 	 1024 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.100189 	 seconds
size: 	 1600 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.006313 	 seconds
size: 	 1600 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.006412 	 seconds
size: 	 1600 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.083314 	 seconds
size: 	 1600 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.077371 	 seconds
size: 	 3136 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.009798 	 seconds
size: 	 3136 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.008205 	 seconds
size: 	 3136 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.103640 	 seconds
size: 	 3136 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.168451 	 seconds
size: 	 6400 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.018827 	 seconds
size: 	 6400 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.013606 	 seconds
size: 	 6400 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.014719 	 seconds
size: 	 6400 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.108761 	 seconds
size: 	 12544 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.029865 	 seconds
size: 	 12544 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.021062 	 seconds
size: 	 12544 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.018561 	 seconds
size: 	 12544 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.120868 	 seconds
size: 	 25600 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.054223 	 seconds
size: 	 25600 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.033867 	 seconds
size: 	 25600 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.034024 	 seconds
size: 	 25600 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.137821 	 seconds
size: 	 50176 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.095889 	 seconds
size: 	 50176 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.055826 	 seconds
size: 	 50176 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.038690 	 seconds
size: 	 50176 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.151791 	 seconds
size: 	 102400 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.179172 	 seconds
size: 	 102400 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.098466 	 seconds
size: 	 102400 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.062411 	 seconds
size: 	 102400 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.181406 	 seconds
size: 	 207936 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.344388 	 seconds
size: 	 207936 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.184874 	 seconds
size: 	 207936 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.110647 	 seconds
size: 	 207936 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.246191 	 seconds
size: 	 409600 	 iterations: 	 2000 	 threads 	 1 	 time: 	 0.651164 	 seconds
size: 	 409600 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.342488 	 seconds
size: 	 409600 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.193675 	 seconds
size: 	 409600 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.424577 	 seconds
size: 	 817216 	 iterations: 	 2000 	 threads 	 1 	 time: 	 3.254487 	 seconds
size: 	 817216 	 iterations: 	 2000 	 threads 	 2 	 time: 	 0.847037 	 seconds
size: 	 817216 	 iterations: 	 2000 	 threads 	 4 	 time: 	 0.586689 	 seconds
size: 	 817216 	 iterations: 	 2000 	 threads 	 8 	 time: 	 0.784015 	 seconds
size: 	 1638400 	 iterations: 	 2000 	 threads 	 1 	 time: 	 7.441547 	 seconds
size: 	 1638400 	 iterations: 	 2000 	 threads 	 2 	 time: 	 4.222337 	 seconds
size: 	 1638400 	 iterations: 	 2000 	 threads 	 4 	 time: 	 3.656417 	 seconds
size: 	 1638400 	 iterations: 	 2000 	 threads 	 8 	 time: 	 4.397796 	 seconds
