size: 	 64 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.006996 	 seconds
size: 	 256 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.007854 	 seconds
size: 	 400 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.009297 	 seconds
size: 	 576 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.009270 	 seconds
size: 	 1600 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.013326 	 seconds
size: 	 3136 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.019666 	 seconds
size: 	 6400 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.045695 	 seconds
size: 	 12544 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.058487 	 seconds
size: 	 25600 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.126575 	 seconds
size: 	 50176 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.238011 	 seconds
size: 	 102400 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.477844 	 seconds
size: 	 207936 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 1.124472 	 seconds
size: 	 409600 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 2.240380 	 seconds
size: 	 817216 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 3.785649 	 seconds
size: 	 1638400 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 15.247241 	 seconds
size: 	 3268864 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 22.312060 	 seconds
size: 	 6553600 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 478.820950 	 seconds
