
size: 	 400 	 iterations: 	 10 	 threads: 	 1 	 time: 	 0.000062 	 seconds
size: 	 400 	 iterations: 	 20 	 threads: 	 1 	 time: 	 0.000093 	 seconds
size: 	 400 	 iterations: 	 50 	 threads: 	 1 	 time: 	 0.000207 	 seconds
size: 	 400 	 iterations: 	 100 	 threads: 	 1 	 time: 	 0.000408 	 seconds
size: 	 400 	 iterations: 	 200 	 threads: 	 1 	 time: 	 0.000805 	 seconds
size: 	 400 	 iterations: 	 500 	 threads: 	 1 	 time: 	 0.001950 	 seconds
size: 	 400 	 iterations: 	 1000 	 threads: 	 1 	 time: 	 0.003893 	 seconds
size: 	 400 	 iterations: 	 2000 	 threads: 	 1 	 time: 	 0.007916 	 seconds
size: 	 400 	 iterations: 	 5000 	 threads: 	 1 	 time: 	 0.019347 	 seconds
size: 	 400 	 iterations: 	 10000 	 threads: 	 1 	 time: 	 0.038721 	 seconds
size: 	 400 	 iterations: 	 20000 	 threads: 	 1 	 time: 	 0.076999 	 seconds
size: 	 400 	 iterations: 	 10 	 threads: 	 2 	 time: 	 0.000135 	 seconds
size: 	 400 	 iterations: 	 20 	 threads: 	 2 	 time: 	 0.000186 	 seconds
size: 	 400 	 iterations: 	 50 	 threads: 	 2 	 time: 	 0.000312 	 seconds
size: 	 400 	 iterations: 	 100 	 threads: 	 2 	 time: 	 0.000561 	 seconds
size: 	 400 	 iterations: 	 200 	 threads: 	 2 	 time: 	 0.001032 	 seconds
size: 	 400 	 iterations: 	 500 	 threads: 	 2 	 time: 	 0.002361 	 seconds
size: 	 400 	 iterations: 	 1000 	 threads: 	 2 	 time: 	 0.004604 	 seconds
size: 	 400 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.009129 	 seconds
size: 	 400 	 iterations: 	 5000 	 threads: 	 2 	 time: 	 0.022552 	 seconds
size: 	 400 	 iterations: 	 10000 	 threads: 	 2 	 time: 	 0.045543 	 seconds
size: 	 400 	 iterations: 	 20000 	 threads: 	 2 	 time: 	 0.091127 	 seconds
size: 	 400 	 iterations: 	 10 	 threads: 	 4 	 time: 	 0.000158 	 seconds
size: 	 400 	 iterations: 	 20 	 threads: 	 4 	 time: 	 0.000211 	 seconds
size: 	 400 	 iterations: 	 50 	 threads: 	 4 	 time: 	 0.000348 	 seconds
size: 	 400 	 iterations: 	 100 	 threads: 	 4 	 time: 	 0.000608 	 seconds
size: 	 400 	 iterations: 	 200 	 threads: 	 4 	 time: 	 0.001031 	 seconds
size: 	 400 	 iterations: 	 500 	 threads: 	 4 	 time: 	 0.002357 	 seconds
size: 	 400 	 iterations: 	 1000 	 threads: 	 4 	 time: 	 0.004635 	 seconds
size: 	 400 	 iterations: 	 2000 	 threads: 	 4 	 time: 	 0.009297 	 seconds
size: 	 400 	 iterations: 	 5000 	 threads: 	 4 	 time: 	 0.024454 	 seconds
size: 	 400 	 iterations: 	 10000 	 threads: 	 4 	 time: 	 0.044971 	 seconds
size: 	 400 	 iterations: 	 20000 	 threads: 	 4 	 time: 	 0.087453 	 seconds
size: 	 400 	 iterations: 	 10 	 threads: 	 8 	 time: 	 0.000812 	 seconds
size: 	 400 	 iterations: 	 20 	 threads: 	 8 	 time: 	 0.001439 	 seconds
size: 	 400 	 iterations: 	 50 	 threads: 	 8 	 time: 	 0.003045 	 seconds
size: 	 400 	 iterations: 	 100 	 threads: 	 8 	 time: 	 0.005939 	 seconds
size: 	 400 	 iterations: 	 200 	 threads: 	 8 	 time: 	 0.011831 	 seconds
size: 	 400 	 iterations: 	 500 	 threads: 	 8 	 time: 	 0.029323 	 seconds
size: 	 400 	 iterations: 	 1000 	 threads: 	 8 	 time: 	 0.058498 	 seconds
size: 	 400 	 iterations: 	 2000 	 threads: 	 8 	 time: 	 0.118993 	 seconds
size: 	 400 	 iterations: 	 5000 	 threads: 	 8 	 time: 	 0.297933 	 seconds
size: 	 400 	 iterations: 	 10000 	 threads: 	 8 	 time: 	 0.591862 	 seconds
size: 	 400 	 iterations: 	 20000 	 threads: 	 8 	 time: 	 1.180617 	 seconds
