site name		season starting	count
Barrientos Island (Aitcho Islands)	----	2017	1704
Brown Bluff	----	2017	793
Brown Bluff	----	2017	695
Brown Station	----	2017	181
Brown Station	----	2017	174
Bryde Island East	----	2017	527
Bryde Island East	----	2017	525
Bryde Island East	----	2017	520
Bryde Island South	----	2017	740
Cuverville Island	----	2017	6903
Danco Island	----	2017	2746
Danco Island	----	2017	2623
Danco Island	----	2017	2242
Dorian Bay/Damoy Point	----	2017	2029
Dorian Bay/Damoy Point	----	2017	1989
Dorian Bay/Damoy Point	----	2017	1835
Dorian Beacon	----	2017	176
Fort Point (Greenwich Island)	----	2017	1006
Fort Point (Greenwich Island)	----	2017	837
Hope Bay	----	2017	467
Jougla Point	----	2017	1089
Jougla Point	----	2017	986
Madder Cliff (Joinville Island)	----	2017	550
Madder Cliff Island	----	2017	220
Mikkelsen Harbor (Trinity Island)	----	2017	1192
Mikkelsen Harbor (Trinity Island)	----	2017	1153
Neko Harbor (Andvord Bay)	----	2017	973
Petermann Island	----	2017	3516
Pleneau Island	----	2017	3027
Port Charcot	----	2017	1484
Selvick Cove	----	2017	618
Skottsberg Point	----	2017	444
Skottsberg Point	----	2017	382
Spigot Peak Tripod	----	2017	16
Spigot Peak Tripod	----	2017	11
Brittannia's Figleaf	----	2016	396
Brown Bluff	----	2016	711
Brown Bluff	----	2016	640
Brown Station	----	2016	173
Brown Station	----	2016	170
Bryde Island East	----	2016	515
Bryde Island East	----	2016	510
Bryde Island South	----	2016	719
d'Urville Monument	----	2016	962
Danco Island	----	2016	2717
Danco Island	----	2016	2680
Dorian Bay/Damoy Point	----	2016	2209
Dorian Beacon	----	2016	200
Dorian Beacon	----	2016	197
Fort Point (Greenwich Island)	----	2016	654
Georges Point (Ronge Island)	----	2016	3949
Georges Point (Ronge Island)	----	2016	3187
Jonassen Island	----	2016	45
Jougla Point	----	2016	1133
Jougla Point	----	2016	1030
Mikkelsen Harbor (Trinity Island)	----	2016	1262
Mikkelsen Harbor (Trinity Island)	----	2016	1104
Neko Harbor (Andvord Bay)	----	2016	1174
Neko Harbor (Andvord Bay)	----	2016	1145
Orne Islands	----	2016	483
Port Charcot	----	2016	1585
Port Lockroy	----	2016	548
Prime Head	----	2016	565
Robert Point (Robert Island)	----	2016	917
Ronge Island East	----	2016	392
Selvick Cove	----	2016	614
Selvick Cove	----	2016	604
Selvick Cove	----	2016	595
Skottsberg Point	----	2016	482
Spigot Peak Point	----	2016	1
Spigot Peak Tripod	----	2016	13
Spigot Peak Tripod	----	2016	7
Spigot Peak Tripod	----	2016	7
Waterboat Point	----	2016	3180
Waterboat Point	----	2016	3134
Waterboat Point	----	2016	3115
Yankee Harbor	----	2016	5677
Yankee Harbor	----	2016	5466
Barrientos Island (Aitcho Islands)	----	2015	1828
Beneden Head	----	2015	1311
Brash Island	----	2015	2270
Brown Bluff	----	2015	806
Brown Bluff	----	2015	676
Brown Bluff	----	2015	440
Brown Station	----	2015	204
Brown Station	----	2015	191
Brown Station	----	2015	171
Bryde Island East	----	2015	556
Bryde Island East	----	2015	527
Bryde Island South	----	2015	784
Bryde Island South	----	2015	733
Cape Lookout	----	2015	209
Cape Lookout	----	2015	178
Cape Tuxen	----	2015	302
Cuverville Island	----	2015	9648
Danco Island	----	2015	3476
Danco Island	----	2015	3409
Dorian Bay/Damoy Point	----	2015	2079
Dorian Beacon	----	2015	181
Dorian Beacon	----	2015	12
Earle Island	----	2015	847
Georges Point (Ronge Island)	----	2015	3354
Heroina Island	----	2015	999
Jougla Point	----	2015	1116
Madder Cliff (Joinville Island)	----	2015	539
Mikkelsen Harbor (Trinity Island)	----	2015	1201
Mikkelsen Harbor (Trinity Island)	----	2015	1142
Mikkelsen Harbor (Trinity Island)	----	2015	898
Mikkelsen Harbor (Trinity Island)	----	2015	860
Neko Harbor (Andvord Bay)	----	2015	1507
Neko Harbor (Andvord Bay)	----	2015	1322
Neko Harbor (Andvord Bay)	----	2015	1149
Noble Rocks	----	2015	35
Noble Rocks	----	2015	28
North Point	----	2015	1315
Orne Islands	----	2015	348
Peine Island (Comb Island)	----	2015	186
